period,dimension,key1,key2,clicks,impressions,ctr,position
3m_2026-05-12_2026-08-11,query+page,employment lawyer cost,/pages/employment-lawyer-cost,0,63,0,69.0
3m_2026-05-12_2026-08-11,query+page,how much dui lawyer cost,/pages/dui-lawyer-cost,0,63,0,67.0
3m_2026-05-12_2026-08-11,query+page,lawyer pricing farmerville la,/states/louisiana-lawyer-costs,0,63,0,53.4
3m_2026-05-12_2026-08-11,query+page,legal consultation fee,/pages/lawyer-consultation-fee,0,63,0,59.9
3m_2026-05-12_2026-08-11,query+page,attorney pricing farmerville la,/states/louisiana-lawyer-costs,0,61,0,48
3m_2026-05-12_2026-08-11,query+page,employment attorney cost,/pages/employment-lawyer-cost,0,61,0,73.6
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost near me,/states/louisiana-lawyer-costs,0,60,0,46.5
3m_2026-05-12_2026-08-11,query+page,attorney pricing union parish la,/states/louisiana-lawyer-costs,0,59,0,59.9
3m_2026-05-12_2026-08-11,query+page,how much do lawyers cost,/states/new-york-lawyer-costs,0,59,0,40.4
3m_2026-05-12_2026-08-11,query+page,lawyer consultation fee chalmette la,/states/louisiana-lawyer-costs,0,59,0,33.7
3m_2026-05-12_2026-08-11,query+page,lawyer pricing west monroe la,/states/louisiana-lawyer-costs,0,59,0,59.4
3m_2026-05-12_2026-08-11,query+page,attorney pricing west monroe la,/states/louisiana-lawyer-costs,0,58,0,60.8
3m_2026-05-12_2026-08-11,query+page,attorney pricing,/states/california-lawyer-costs,0,57,0,92.2
3m_2026-05-12_2026-08-11,query+page,how much are dui lawyers,/pages/dui-lawyer-cost,0,57,0,68.7
3m_2026-05-12_2026-08-11,query+page,how much is a lawyer,/states/new-york-lawyer-costs,0,56,0,33.1
3m_2026-05-12_2026-08-11,query+page,legal consultation fee,/states/texas-lawyer-costs,0,56,0,59.8
3m_2026-05-12_2026-08-11,query+page,how much does a personal injury lawyer cost in new mexico,/states/new-mexico-lawyer-costs,0,55,0,50.8
3m_2026-05-12_2026-08-11,query+page,lawyer hourly rate,/states/colorado-lawyer-costs,0,55,0,28.3
3m_2026-05-12_2026-08-11,query+page,cost of interdiction in louisiana,/states/louisiana-lawyer-costs,0,54,0,38.3
3m_2026-05-12_2026-08-11,query+page,how much does a personal injury lawyer cost sc,/states/south-carolina-lawyer-costs,0,54,0,76.0
3m_2026-05-12_2026-08-11,query+page,lawyer consultation fee,/pages/lawyer-consultation-fee,0,54,0,57.5
3m_2026-05-12_2026-08-11,query+page,lawyer pricing near me,/states/louisiana-lawyer-costs,0,53,0,43.1
3m_2026-05-12_2026-08-11,query+page,lawyer pricing union parish la,/states/louisiana-lawyer-costs,0,53,0,64.8
3m_2026-05-12_2026-08-11,query+page,legal fees,/states/california-lawyer-costs,0,51,0,41.8
3m_2026-05-12_2026-08-11,query+page,virginia reckless driving lawyer fees,/states/virginia-lawyer-costs,0,51,0,70.9
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/states/california-lawyer-costs,0,50,0,87.2
3m_2026-05-12_2026-08-11,query+page,legal consulting fees,/states/texas-lawyer-costs,0,50,0,61.1
3m_2026-05-12_2026-08-11,query+page,attorney pricing,/states/tennessee-lawyer-costs,0,49,0,82.1
3m_2026-05-12_2026-08-11,query+page,criminal defense attorneys fees,/states/utah-lawyer-costs,0,49,0,59.6
3m_2026-05-12_2026-08-11,query+page,lawyer fees,/states/wisconsin-lawyer-costs,0,48,0,53.2
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/pages/how-much-does-a-lawyer-cost,0,48,0,76.1
3m_2026-05-12_2026-08-11,query+page,legal pricing,/states/california-lawyer-costs,0,48,0,56.6
3m_2026-05-12_2026-08-11,query+page,cost of utah dui attorney utah,/states/utah-lawyer-costs,0,47,0,73.4
3m_2026-05-12_2026-08-11,query+page,first offense dui lawyer cost,/pages/dui-lawyer-cost,0,47,0,61.2
3m_2026-05-12_2026-08-11,query+page,how much does a criminal lawyer cost,/states/utah-lawyer-costs,0,47,0,67.1
3m_2026-05-12_2026-08-11,query+page,how much does a dui lawyer cost,/pages/dui-lawyer-cost,0,47,0,73.5
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/states/wisconsin-lawyer-costs,0,47,0,90.1
3m_2026-05-12_2026-08-11,query+page,what percentage do personal injury lawyers take in new mexico,/states/new-mexico-lawyer-costs,0,47,0,56.2
3m_2026-05-12_2026-08-11,query+page,attorney fees on a judgment in a divorce in az,/states/arizona-lawyer-costs,0,46,0,41.4
3m_2026-05-12_2026-08-11,query+page,divorce lawyers in nj cost,/states/new-jersey-lawyer-costs,0,45,0,43.0
3m_2026-05-12_2026-08-11,query+page,how much does a personal injury lawyer cost,/pages/personal-injury-lawyer-cost,0,45,0,65.2
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/states/texas-lawyer-costs,0,45,0,89.9
3m_2026-05-12_2026-08-11,query+page,legal fees union parish la,/states/louisiana-lawyer-costs,0,45,0,37.2
3m_2026-05-12_2026-08-11,query+page,unemployment lawyer cost,/pages/employment-lawyer-cost,0,45,0,53.7
3m_2026-05-12_2026-08-11,query+page,attorney pricing,/states/wisconsin-lawyer-costs,0,44,0,87.8
3m_2026-05-12_2026-08-11,query+page,average attorney consultation fee mobile alabama,/states/alabama-lawyer-costs,0,44,0,2.6
3m_2026-05-12_2026-08-11,query+page,average cost for a dui lawyer,/pages/dui-lawyer-cost,0,44,0,67.9
3m_2026-05-12_2026-08-11,query+page,how much does lawyers charge in chalmette la,/states/louisiana-lawyer-costs,0,44,0,34.8
3m_2026-05-12_2026-08-11,query+page,cost of estate planning lawyer,/pages/estate-planning-lawyer-cost,0,43,0,63.2
3m_2026-05-12_2026-08-11,query+page,how much are court fees in nj,/states/new-jersey-lawyer-costs,0,43,0,27.5
3m_2026-05-12_2026-08-11,query+page,how much does a criminal defense lawyer cost,/pages/criminal-defense-lawyer-cost,0,42,0,37.1
3m_2026-05-12_2026-08-11,query+page,colorado divorce attorney fees,/states/colorado-lawyer-costs,0,41,0,51.6
3m_2026-05-12_2026-08-11,query+page,how much does kevin reddington charge,/states/massachusetts-lawyer-costs,0,41,0,1
3m_2026-05-12_2026-08-11,query+page,lawyer cost,/states/south-carolina-lawyer-costs,0,41,0,84.5
3m_2026-05-12_2026-08-11,query+page,legal fees,/states/new-york-lawyer-costs,0,41,0,31.9
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/states/connecticut-lawyer-costs,0,40,0,10.7
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/states/new-york-lawyer-costs,0,40,0,24.6
3m_2026-05-12_2026-08-11,query+page,how much does a will cost in kentucky,/states/kentucky-lawyer-costs,0,40,0,18.6
3m_2026-05-12_2026-08-11,query+page,attorney cost,/states/south-carolina-lawyer-costs,0,39,0,76.5
3m_2026-05-12_2026-08-11,query+page,monthly lawyer cost near me,/states/louisiana-lawyer-costs,0,38,0,52.7
3m_2026-05-12_2026-08-11,query+page,attorney consultant cost,/states/california-lawyer-costs,0,37,0,68.4
3m_2026-05-12_2026-08-11,query+page,attorney fees,/states/wisconsin-lawyer-costs,0,37,0,55.9
3m_2026-05-12_2026-08-11,query+page,law firm pricing north louisiana,/states/louisiana-lawyer-costs,0,37,0,58.9
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/states/mississippi-lawyer-costs,0,37,0,58.4
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/states/south-carolina-lawyer-costs,0,37,0,91.8
3m_2026-05-12_2026-08-11,query+page,maryland bar dues 2026,/states/maryland-lawyer-costs,0,37,0,8.9
3m_2026-05-12_2026-08-11,query+page,attorney fees,/states/tennessee-lawyer-costs,0,36,0,65.8
3m_2026-05-12_2026-08-11,query+page,attorney fees award family law washington,/states/washington-lawyer-costs,0,36,0,47.7
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/states/california-lawyer-costs,0,36,0,81.4
3m_2026-05-12_2026-08-11,query+page,lawyer cost,/states/oklahoma-lawyer-costs,0,36,0,74.7
3m_2026-05-12_2026-08-11,query+page,lawyer cost,/states/tennessee-lawyer-costs,0,36,0,74.1
3m_2026-05-12_2026-08-11,query+page,lawyer fees,/states/south-carolina-lawyer-costs,0,36,0,71.2
3m_2026-05-12_2026-08-11,query+page,virginia reckless driving lawyer cost,/states/virginia-lawyer-costs,0,36,0,74.1
3m_2026-05-12_2026-08-11,query+page,attorney cost,/states/wisconsin-lawyer-costs,0,35,0,54.9
3m_2026-05-12_2026-08-11,query+page,attorney pricing near me,/states/louisiana-lawyer-costs,0,35,0,50.9
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/states/tennessee-lawyer-costs,0,35,0,83
3m_2026-05-12_2026-08-11,query+page,how much is a consultation with a lawyer,/states/california-lawyer-costs,0,35,0,90.5
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/states/oklahoma-lawyer-costs,0,35,0,81.1
3m_2026-05-12_2026-08-11,query+page,personal injury lawyer contingency fee nh,/states/new-hampshire-lawyer-costs,0,35,0,36.1
3m_2026-05-12_2026-08-11,query+page,power of attorney virginia cost,/states/virginia-lawyer-costs,0,35,0,55.3
3m_2026-05-12_2026-08-11,query+page,what is a contingency fee,/pages/contingency-fee-explained,0,35,0,70.0
3m_2026-05-12_2026-08-11,query+page,attorney consultant cost,/pages/lawyer-consultation-fee,0,34,0,74.1
3m_2026-05-12_2026-08-11,query+page,average cost of divorce in nebraska,/states/nebraska-lawyer-costs,0,34,0,71.1
3m_2026-05-12_2026-08-11,query+page,colorado filing fees,/states/colorado-lawyer-costs,0,34,0,20.6
3m_2026-05-12_2026-08-11,query+page,asbestosis claims calculator,/pages/mesothelioma-settlement-calculator,1,33,0.0303,46.2
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/states/wisconsin-lawyer-costs,0,32,0,65.2
3m_2026-05-12_2026-08-11,query+page,how much is a lawyer,/pages/how-much-does-a-lawyer-cost,0,32,0,57.7
3m_2026-05-12_2026-08-11,query+page,lawyer cost,/states/california-lawyer-costs,0,32,0,73.3
3m_2026-05-12_2026-08-11,query+page,lawyer cost,/states/new-york-lawyer-costs,0,32,0,15.5
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/states/kentucky-lawyer-costs,0,32,0,84.9
3m_2026-05-12_2026-08-11,query+page,cost of criminal defense attorney,/pages/criminal-defense-lawyer-cost,0,31,0,61
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer charge for chapter 7,/pages/bankruptcy-lawyer-cost,0,31,0,46.6
3m_2026-05-12_2026-08-11,query+page,how much is a consultation with a lawyer,/pages/how-much-does-a-lawyer-cost,0,31,0,56.4
3m_2026-05-12_2026-08-11,query+page,lawyer consultant cost,/states/california-lawyer-costs,0,31,0,73.4
3m_2026-05-12_2026-08-11,query+page,will attorney utah cost,/states/utah-lawyer-costs,0,31,0,67.4
3m_2026-05-12_2026-08-11,query+page,attorney pricing,/states/kentucky-lawyer-costs,0,30,0,81.9
3m_2026-05-12_2026-08-11,query+page,average cost of a lawyer,/pages/how-much-does-a-lawyer-cost,0,30,0,61.8
3m_2026-05-12_2026-08-11,query+page,business contract lawyer cost,/pages/business-lawyer-cost,0,30,0,63.5
3m_2026-05-12_2026-08-11,query+page,how much do lawyers charge,/states/new-york-lawyer-costs,0,30,0,40.3
3m_2026-05-12_2026-08-11,query+page,how much is a attorney,/states/idaho-lawyer-costs,0,30,0,27.7
3m_2026-05-12_2026-08-11,query+page,how much is a consultation with a lawyer,/states/texas-lawyer-costs,0,30,0,69.8
3m_2026-05-12_2026-08-11,query+page,lawyer cost,/states/alabama-lawyer-costs,0,30,0,50.3
3m_2026-05-12_2026-08-11,query+page,lawyer fees,/states/california-lawyer-costs,0,30,0,68.1
3m_2026-05-12_2026-08-11,query+page,how much does a divorce lawyer cost in indiana,/states/indiana-lawyer-costs,0,29,0,55.3
3m_2026-05-12_2026-08-11,query+page,how much does a dui lawyer cost virginia,/states/virginia-lawyer-costs,0,29,0,34.3
3m_2026-05-12_2026-08-11,query+page,how much does an estate planning lawyer charge,/pages/estate-planning-lawyer-cost,0,29,0,67.7
3m_2026-05-12_2026-08-11,query+page,how much does it cost for a lawyer to represent you in court,/states/new-york-lawyer-costs,0,29,0,9.2
3m_2026-05-12_2026-08-11,query+page,how much is a attorney,/states/utah-lawyer-costs,0,29,0,26.8
3m_2026-05-12_2026-08-11,query+page,lawyer consultant cost,/pages/lawyer-consultation-fee,0,29,0,59.6
3m_2026-05-12_2026-08-11,query+page,lawyer consultant cost,/states/south-carolina-lawyer-costs,0,29,0,66.1
3m_2026-05-12_2026-08-11,query+page,lawyer fee dispute ohio,/states/ohio-lawyer-costs,0,29,0,46.5
3m_2026-05-12_2026-08-11,query+page,lawyers hourly rates,/states/texas-lawyer-costs,0,29,0,61.0
3m_2026-05-12_2026-08-11,query+page,attorney fees,/states/colorado-lawyer-costs,0,28,0,50.6
3m_2026-05-12_2026-08-11,query+page,average cost of dui lawyer,/pages/dui-lawyer-cost,0,28,0,69.1
3m_2026-05-12_2026-08-11,query+page,estate planning attorney cost,/pages/estate-planning-lawyer-cost,0,28,0,83.2
3m_2026-05-12_2026-08-11,query+page,how much does a business attorney cost in denver,/states/colorado-lawyer-costs,0,28,0,47.9
3m_2026-05-12_2026-08-11,query+page,how much does it cost for a lawyer to represent you in court,/states/south-carolina-lawyer-costs,0,28,0,8.5
3m_2026-05-12_2026-08-11,query+page,how much is a divorce lawyer,/pages/divorce-lawyer-cost,0,28,0,72.9
3m_2026-05-12_2026-08-11,query+page,lawyer fees,/states/florida-lawyer-costs,0,28,0,79.7
3m_2026-05-12_2026-08-11,query+page,cost of criminal defense lawyer,/pages/criminal-defense-lawyer-cost,0,27,0,58.5
3m_2026-05-12_2026-08-11,query+page,criminal lawyer fees,/states/utah-lawyer-costs,0,27,0,39.1
3m_2026-05-12_2026-08-11,query+page,how much are lawyer fees,/states/new-york-lawyer-costs,0,27,0,26.7
3m_2026-05-12_2026-08-11,query+page,how much does a divorce lawyer cost,/states/maryland-lawyer-costs,0,27,0,63.2
3m_2026-05-12_2026-08-11,query+page,how much does an attorney cost,/pages/how-much-does-a-lawyer-cost,0,27,0,51.3
3m_2026-05-12_2026-08-11,query+page,kevin reddington price,/states/massachusetts-lawyer-costs,0,27,0,1.1
3m_2026-05-12_2026-08-11,query+page,lawyer fees,/states/new-york-lawyer-costs,0,27,0,17.9
3m_2026-05-12_2026-08-11,query+page,average lawyer fees per hour,/states/new-york-lawyer-costs,0,26,0,49.0
3m_2026-05-12_2026-08-11,query+page,business attorney cost,/pages/business-lawyer-cost,0,26,0,62.3
3m_2026-05-12_2026-08-11,query+page,how much are lawyers,/states/new-york-lawyer-costs,0,26,0,50.9
3m_2026-05-12_2026-08-11,query+page,how much does personal injury lawyer cost,/pages/personal-injury-lawyer-cost,0,26,0,69.6
3m_2026-05-12_2026-08-11,query+page,how much is a consultation with a lawyer,/pages/can-i-afford-a-lawyer,0,26,0,78.0
3m_2026-05-12_2026-08-11,query+page,lawyer cost,/states/utah-lawyer-costs,0,26,0,44.8
3m_2026-05-12_2026-08-11,query+page,lawyer cost,/states/washington-lawyer-costs,0,26,0,62.8
3m_2026-05-12_2026-08-11,query+page,criminal lawyers fees,/states/utah-lawyer-costs,0,25,0,40.6
3m_2026-05-12_2026-08-11,query+page,how much does it cost for a lawyer to represent you in court,/states/new-jersey-lawyer-costs,0,25,0,7.9
3m_2026-05-12_2026-08-11,query+page,lawyer cost,/states/florida-lawyer-costs,0,25,0,87.5
3m_2026-05-12_2026-08-11,query+page,maryland divorce attorney fees,/states/maryland-lawyer-costs,0,25,0,74.9
3m_2026-05-12_2026-08-11,query+page,attorney consultant cost,/states/north-carolina-lawyer-costs,0,24,0,89.5
3m_2026-05-12_2026-08-11,query+page,attorney cost,/states/tennessee-lawyer-costs,0,24,0,86.4
3m_2026-05-12_2026-08-11,query+page,california attorney's fees,/states/california-lawyer-costs,0,24,0,65.4
3m_2026-05-12_2026-08-11,query+page,lawyer consultant cost,/states/north-carolina-lawyer-costs,0,24,0,95.8
3m_2026-05-12_2026-08-11,query+page,lawyer consultant cost,/states/texas-lawyer-costs,0,24,0,86.7
3m_2026-05-12_2026-08-11,query+page,lawyer cost,/states/texas-lawyer-costs,0,24,0,77.2
3m_2026-05-12_2026-08-11,query+page,employment lawyer consultation fee,/pages/employment-lawyer-cost,0,23,0,76.7
3m_2026-05-12_2026-08-11,query+page,georgia traffic lawyer cost,/states/georgia-lawyer-costs,0,23,0,71.9
3m_2026-05-12_2026-08-11,query+page,how much does a divorce attorney cost in denver,/states/colorado-lawyer-costs,0,23,0,70
3m_2026-05-12_2026-08-11,query+page,how much does a divorce lawyer cost,/pages/divorce-lawyer-cost,0,23,0,76.6
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/states/alabama-lawyer-costs,0,23,0,10.8
3m_2026-05-12_2026-08-11,query+page,how much does an attorney cost,/states/south-carolina-lawyer-costs,0,23,0,76.1
3m_2026-05-12_2026-08-11,query+page,indiana attorney fee,/states/indiana-lawyer-costs,0,23,0,26.1
3m_2026-05-12_2026-08-11,query+page,lawyer fees for small business,/states/massachusetts-lawyer-costs,0,23,0,61.7
3m_2026-05-12_2026-08-11,query+page,lawyer hourly rate,/states/new-york-lawyer-costs,0,23,0,36.0
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/states/massachusetts-lawyer-costs,0,23,0,84.5
3m_2026-05-12_2026-08-11,query+page,attorney cost,/states/california-lawyer-costs,0,22,0,78.3
3m_2026-05-12_2026-08-11,query+page,attorney cost,/states/oklahoma-lawyer-costs,0,22,0,64.9
3m_2026-05-12_2026-08-11,query+page,average cost of divorce in wv,/states/west-virginia-lawyer-costs,0,22,0,51.4
3m_2026-05-12_2026-08-11,query+page,colorado attorney contingency fee limit 2024,/states/colorado-lawyer-costs,0,22,0,42.5
3m_2026-05-12_2026-08-11,query+page,colorado lawyer fee cap 2024,/states/colorado-lawyer-costs,0,22,0,28.2
3m_2026-05-12_2026-08-11,query+page,how much does a divorce cost in wisconsin,/states/wisconsin-lawyer-costs,0,22,0,56
3m_2026-05-12_2026-08-11,query+page,lawyer fees,/states/tennessee-lawyer-costs,0,22,0,79.5
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/states/alabama-lawyer-costs,0,22,0,78.1
3m_2026-05-12_2026-08-11,query+page,legal guide,/pages/legal-aid-guide,0,22,0,63.4
3m_2026-05-12_2026-08-11,query+page,workers compensation attorney fees,/states/missouri-lawyer-costs,0,22,0,58
3m_2026-05-12_2026-08-11,query+page,estate planning attorney fees,/pages/estate-planning-lawyer-cost,0,21,0,72.8
3m_2026-05-12_2026-08-11,query+page,flat fee legal services north louisiana,/states/louisiana-lawyer-costs,0,21,0,44.7
3m_2026-05-12_2026-08-11,query+page,how much does a divorce lawyer cost in ohio,/states/ohio-lawyer-costs,0,21,0,71
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/states/idaho-lawyer-costs,0,21,0,12.6
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost for criminal defense,/pages/criminal-defense-lawyer-cost,0,21,0,59.6
3m_2026-05-12_2026-08-11,query+page,how much is a divorce lawyer,/states/maryland-lawyer-costs,0,21,0,77.2
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/states/illinois-lawyer-costs,0,21,0,91.7
3m_2026-05-12_2026-08-11,query+page,lawyers hourly rates,/states/south-carolina-lawyer-costs,0,21,0,59.7
3m_2026-05-12_2026-08-11,query+page,ohio divorce lawyer cost,/states/ohio-lawyer-costs,0,21,0,83.9
3m_2026-05-12_2026-08-11,query+page,property damage lawyer cost,/states/alabama-lawyer-costs,0,21,0,20.9
3m_2026-05-12_2026-08-11,query+page,attorney consultant cost,/states/south-carolina-lawyer-costs,0,20,0,59.4
3m_2026-05-12_2026-08-11,query+page,how much are lawyers,/states/pennsylvania-lawyer-costs,0,20,0,9.9
3m_2026-05-12_2026-08-11,query+page,how much does a car accident lawyer cost in virginia,/states/virginia-lawyer-costs,0,20,0,61.1
3m_2026-05-12_2026-08-11,query+page,how much does a divorce lawyer cost,/states/colorado-lawyer-costs,0,20,0,68.5
3m_2026-05-12_2026-08-11,query+page,how much does a good lawyer cost,/states/texas-lawyer-costs,0,20,0,74.5
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/states/utah-lawyer-costs,0,20,0,40.2
3m_2026-05-12_2026-08-11,query+page,how to afford a lawyer,/pages/can-i-afford-a-lawyer,0,20,0,41.2
3m_2026-05-12_2026-08-11,query+page,lawyer fees,/states/louisiana-lawyer-costs,0,20,0,70.8
3m_2026-05-12_2026-08-11,query+page,lawyer payment plans union parish la,/states/louisiana-lawyer-costs,0,20,0,47.8
3m_2026-05-12_2026-08-11,query+page,legal advice cost,/states/new-york-lawyer-costs,0,20,0,26.1
3m_2026-05-12_2026-08-11,query+page,legal fees near me,/states/louisiana-lawyer-costs,0,20,0,54.3
3m_2026-05-12_2026-08-11,query+page,monthly legal plan north louisiana,/states/louisiana-lawyer-costs,0,20,0,51.9
3m_2026-05-12_2026-08-11,query+page,cost of divorce in nebraska,/states/nebraska-lawyer-costs,0,19,0,80.8
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/states/kentucky-lawyer-costs,0,19,0,12.9
3m_2026-05-12_2026-08-11,query+page,how much does it cost for a lawyer to represent you in court,/states/kentucky-lawyer-costs,0,19,0,8.4
3m_2026-05-12_2026-08-11,query+page,immigration attorney fees indiana,/states/indiana-lawyer-costs,0,19,0,82.4
3m_2026-05-12_2026-08-11,query+page,law firm website cost in alabama,/states/alabama-lawyer-costs,0,19,0,54.5
3m_2026-05-12_2026-08-11,query+page,new york divorce lawyer fees,/states/new-york-lawyer-costs,0,19,0,50.6
3m_2026-05-12_2026-08-11,query+page,personal injury attorney fee calculator,/pages/personal-injury-settlement-calculator,0,19,0,81.8
3m_2026-05-12_2026-08-11,query+page,unemployment lawyer fees,/pages/employment-lawyer-cost,0,19,0,51.5
3m_2026-05-12_2026-08-11,query+page,how much do lawyers cost,/pages/how-much-does-a-lawyer-cost,0,18,0,67.9
3m_2026-05-12_2026-08-11,query+page,how much does a divorce lawyer cost in new jersey,/states/new-jersey-lawyer-costs,0,18,0,64.1
3m_2026-05-12_2026-08-11,query+page,how much does it cost for a lawyer to represent you in court,/states/alabama-lawyer-costs,0,18,0,9.5
3m_2026-05-12_2026-08-11,query+page,how much does it cost for a lawyer to represent you in court,/states/louisiana-lawyer-costs,0,18,0,9.1
3m_2026-05-12_2026-08-11,query+page,how much is an attorney,/pages/how-much-does-a-lawyer-cost,0,18,0,44.5
