URL,claim,current source,source quality,status,action,verified date
/states/alabama-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Filing fees verified against the Code of Alabama (§12-19-71, §12-12-31) and the Alabama Unified Judicial System",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/california-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against California Courts (courts.ca.gov), the State Bar of California (calbar.ca.gov), and the California Codes",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/colorado-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the Colorado Judicial Branch (coloradojudicial.gov), the Colorado Bar Association, and the Colorado Revised Statutes",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/iowa-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the Iowa Judicial Branch (iowacourts.gov), The Iowa State Bar Association, and the Iowa Code",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/kansas-lawyer-costs,Tasas judiciales y limites de small claims del estado,Figures verified against the Kansas Revisor of Statutes (K.S.A. Chapters 60 &amp; 61) and the Kansas Judicial Branch,Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/kentucky-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the Kentucky Court of Justice (kycourts.gov), the Kentucky Bar Association, the Kentucky Revised Statutes, and the Kentucky C",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/louisiana-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the Louisiana State Legislature (legis.la.gov), the Louisiana State Bar Association, and parish clerk-of-court fee schedules",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/minnesota-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the Minnesota Judicial Branch (mncourts.gov), Minnesota Statutes, and the Minnesota State Bar Association",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/mississippi-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Filing fees verified against the Mississippi Code (Miss. Code 25-7-9, 25-7-13, 25-7-25, 9-11-9), The Mississippi Bar, and the Mississippi Judiciary (c",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/missouri-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the Missouri Revised Statutes (revisor.mo.gov), the Missouri Courts (courts.mo.gov), and The Missouri Bar",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/new-jersey-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the New Jersey Courts (njcourts.gov), the New Jersey State Bar Association, and New Jersey statutes and court rules",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/new-york-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the New York State Unified Court System (nycourts.gov), the New York State Senate codes (nysenate.gov), and the New York Stat",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/north-carolina-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the North Carolina Judicial Branch (nccourts.gov), the North Carolina State Bar (ncbar.gov), and the North Carolina General S",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/south-carolina-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the South Carolina Judicial Branch (sccourts.org), the South Carolina Bar, and the South Carolina Code of Laws",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/south-dakota-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the South Dakota Unified Judicial System (ujs.sd.gov), the State Bar of South Dakota, and the South Dakota Codified Laws",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/utah-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against Utah State Courts (utcourts.gov), the Utah State Bar, and the Utah Code",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/virginia-lawyer-costs,Tasas judiciales y limites de small claims del estado,"Figures verified against the Virginia Judicial System (vacourts.gov), the Virginia State Bar, and the Code of Virginia",Fuente primaria (.gov / codigo estatal),VERIFICADO,"Sin cambios: la cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/alaska-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/arizona-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/arkansas-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/connecticut-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/delaware-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/florida-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/georgia-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/hawaii-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/idaho-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/illinois-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/indiana-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/maine-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/maryland-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/massachusetts-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/michigan-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/montana-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/nebraska-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/nevada-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/new-hampshire-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/new-mexico-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/north-dakota-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/ohio-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/oklahoma-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/oregon-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/pennsylvania-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/rhode-island-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/tennessee-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/texas-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/vermont-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/washington-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/west-virginia-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/wisconsin-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/states/wyoming-lawyer-costs,Bandas de tarifa por metro y benchmark estatal medio,Clio Lawyer Rates by State / BLS OES,Secundaria (informe comercial),NO_VERIFICABLE,"Clio no publica desglose por metro auditable. La cifra se presenta como banda estimada, no como dato oficial. Pendiente: cotejar con fuente .gov del estado.",2026-08-12
/pages/* (52 guias),Bandas de coste por area de practica,Clio Legal Trends / BLS OES,Secundaria,NO_VERIFICABLE,"Derivadas de benchmarks de mercado, no de fuente oficial. Etiquetadas como estimacion en la pagina.",2026-08-12
