url,decision,clicks_3m,impr_3m,pos_3m,clicks_28d,impr_28d,internal_inlinks,main_text_chars,max_jaccard_vs_other_pages,has_interactive_tool,in_sitemap,reason
/pages/birth-injury-lawyer-cost,KEEP_AS_IS,0,3,37.3,0,0,2,16181,0.46,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/how-much-does-a-lawsuit-cost,KEEP_AS_IS,0,3,7.7,0,1,2,14619,0.303,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/motorcycle-accident-lawyer-cost,KEEP_AS_IS,0,2,29.5,0,0,2,13605,0.374,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/uber-lyft-accident-lawyer-cost,KEEP_AS_IS,0,2,13.0,0,0,2,13396,0.373,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/will-cost-guide,KEEP_AS_IS,0,2,7.0,0,0,2,7788,0.591,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/wrongful-termination-lawyer-cost,KEEP_AS_IS,0,2,5.5,0,0,2,8200,0.594,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/18-wheeler-accident-lawyer-cost,KEEP_AS_IS,0,1,7.0,0,0,2,14251,0.361,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/camp-lejeune-lawsuit-cost,KEEP_AS_IS,0,1,9.0,0,0,2,13314,0.386,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/federal-criminal-defense-lawyer-cost,KEEP_AS_IS,0,1,12.0,0,0,2,14508,0.462,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/asbestos-lawsuit-cost,KEEP_AS_IS,0,0,0,0,0,2,17038,0.34,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/child-custody-lawyer-cost,KEEP_AS_IS,0,0,0,0,0,2,8148,0.448,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/class-action-lawsuit-cost,KEEP_AS_IS,0,0,0,0,0,2,12003,0.385,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/contingency-fee-lawyer-finder,KEEP_AS_IS,0,0,0,0,0,2,15192,0.323,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/mediation-cost-guide,KEEP_AS_IS,0,0,0,0,0,42,8051,0.555,NO,SI,42 enlaces internos entrantes: forma parte de la estructura del hub.
/pages/medical-malpractice-lawyer-cost,KEEP_AS_IS,0,0,0,0,0,2,16055,0.459,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/patent-lawyer-cost,KEEP_AS_IS,0,0,0,0,0,2,8232,0.6,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/social-security-disability-lawyer-cost,KEEP_AS_IS,0,0,0,0,0,2,9265,0.399,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/surgical-error-lawyer-cost,KEEP_AS_IS,0,0,0,0,0,2,15368,0.46,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/talcum-powder-lawsuit-cost,KEEP_AS_IS,0,0,0,0,0,2,12258,0.413,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/truck-accident-lawyer-cost,KEEP_AS_IS,0,0,0,0,0,2,16922,0.313,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/workers-comp-lawyer-cost,KEEP_AS_IS,0,0,0,0,0,2,8866,0.399,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
