url,schema_type,types_before_a3a8187,types_after,verdict,note
/pages/camp-lejeune-lawsuit-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/camp-lejeune-lawsuit-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/can-i-afford-a-lawyer,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/can-i-afford-a-lawyer,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/child-custody-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/child-custody-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/class-action-lawsuit-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/class-action-lawsuit-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/contingency-fee-calculator,WebPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,tipo acorde al proposito real de la pagina
/pages/contingency-fee-calculator,BreadcrumbList,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/contingency-fee-explained,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/contingency-fee-explained,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/contingency-fee-lawyer-finder,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/contingency-fee-lawyer-finder,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/contingency-fee-lawyer-finder,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/criminal-defense-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/criminal-defense-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/divorce-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/divorce-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/drug-trafficking-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/drug-trafficking-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/drug-trafficking-lawyer-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/dui-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/dui-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/employment-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/employment-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/estate-planning-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/estate-planning-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/federal-criminal-defense-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/federal-criminal-defense-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/federal-criminal-defense-lawyer-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/hourly-vs-flat-fee-lawyer,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/hourly-vs-flat-fee-lawyer,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/how-much-does-a-lawsuit-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/how-much-does-a-lawsuit-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/how-much-does-a-lawsuit-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/how-much-does-a-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/how-much-does-a-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/immigration-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/immigration-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/landlord-tenant-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/landlord-tenant-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/lawyer-consultation-fee,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/lawyer-consultation-fee,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/lawyer-cost-calculator,WebPage,"Article,BreadcrumbList,INVALID","WebPage,BreadcrumbList",OK,tipo acorde al proposito real de la pagina
/pages/lawyer-cost-calculator,BreadcrumbList,"Article,BreadcrumbList,INVALID","WebPage,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/legal-aid-guide,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/legal-aid-guide,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/legal-fee-calculator,WebPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,tipo acorde al proposito real de la pagina
/pages/legal-fee-calculator,BreadcrumbList,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/mediation-cost-guide,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/mediation-cost-guide,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/medical-malpractice-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/medical-malpractice-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/medical-malpractice-lawyer-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/mesothelioma-lawyer-cost,Article,"Article,BreadcrumbList,INVALID","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/mesothelioma-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,INVALID","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/mesothelioma-lawyer-cost,FAQPage,"Article,BreadcrumbList,INVALID","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/mesothelioma-settlement-calculator,WebPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList,FAQPage",OK,tipo acorde al proposito real de la pagina
/pages/mesothelioma-settlement-calculator,BreadcrumbList,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/mesothelioma-settlement-calculator,FAQPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/motorcycle-accident-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/motorcycle-accident-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/motorcycle-accident-lawyer-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"3 preguntas, todas visibles en la pagina"
/pages/notary-cost-guide,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/notary-cost-guide,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/patent-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/patent-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/personal-injury-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/personal-injury-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/personal-injury-settlement-calculator,WebPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList,FAQPage",OK,tipo acorde al proposito real de la pagina
/pages/personal-injury-settlement-calculator,BreadcrumbList,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/personal-injury-settlement-calculator,FAQPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/power-of-attorney-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/power-of-attorney-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/real-estate-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/real-estate-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/roundup-lawsuit-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/roundup-lawsuit-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/small-claims-court-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/small-claims-court-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/small-claims-filing-fee-calculator,WebPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,tipo acorde al proposito real de la pagina
/pages/small-claims-filing-fee-calculator,BreadcrumbList,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/social-security-disability-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/social-security-disability-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/surgical-error-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/surgical-error-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/surgical-error-lawyer-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/talcum-powder-lawsuit-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/talcum-powder-lawsuit-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/trademark-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/trademark-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/truck-accident-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/truck-accident-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/truck-accident-lawyer-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"3 preguntas, todas visibles en la pagina"
/pages/uber-lyft-accident-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/uber-lyft-accident-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/uber-lyft-accident-lawyer-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"3 preguntas, todas visibles en la pagina"
/pages/white-collar-crime-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/white-collar-crime-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/white-collar-crime-lawyer-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/will-cost-guide,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/will-cost-guide,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/workers-comp-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/workers-comp-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/wrongful-termination-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/wrongful-termination-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/privacy-policy,WebPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,tipo acorde al proposito real de la pagina
/privacy-policy,BreadcrumbList,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,coincide con breadcrumbs visibles
/sitemap,WebPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,tipo acorde al proposito real de la pagina
/sitemap,BreadcrumbList,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,coincide con breadcrumbs visibles
/states/alabama-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/alabama-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/alabama-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"5 preguntas, todas visibles en la pagina"
/states/alaska-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/alaska-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/alaska-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/arizona-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/arizona-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/arizona-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/arkansas-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/arkansas-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/arkansas-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/california-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/california-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/california-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/colorado-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/colorado-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/colorado-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/connecticut-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/connecticut-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/connecticut-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/delaware-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/delaware-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/delaware-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/florida-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/florida-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/states/georgia-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/georgia-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/states/hawaii-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/hawaii-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/hawaii-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/idaho-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/idaho-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/idaho-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
