query,total_impr_3m,n_urls,mixed_sections,sections,url_1,impr_1,pos_1,url_2,impr_2,pos_2,url_3,impr_3,pos_3,verdict
how much does an attorney cost,190,42,True,"guide,other,state",/pages/how-much-does-a-lawyer-cost,27,51.3,/states/south-carolina-lawyer-costs,23,76.1,/states/pennsylvania-lawyer-costs,13,10.7,REVISAR-intencion-mixta
flat fee lawyer,178,2,False,state,/states/louisiana-lawyer-costs,177,49.5,/states/colorado-lawyer-costs,1,37,,,,OK-misma-seccion-intencion-geo-distinta
how much do lawyers cost,178,35,True,"guide,other,state",/states/new-york-lawyer-costs,59,40.4,/pages/how-much-does-a-lawyer-cost,18,67.9,/states/idaho-lawyer-costs,12,15.6,REVISAR-intencion-mixta
how much is a lawyer,171,37,True,"guide,other,state",/states/new-york-lawyer-costs,56,33.1,/pages/how-much-does-a-lawyer-cost,32,57.7,/states/arkansas-lawyer-costs,10,11.7,REVISAR-intencion-mixta
how much does a business lawyer cost,160,6,True,"guide,state",/pages/business-lawyer-cost,142,65.1,/states/new-york-lawyer-costs,7,35.6,/states/massachusetts-lawyer-costs,6,68.2,REVISAR-intencion-mixta
legal consulting fees,160,9,True,"guide,other,state",/pages/lawyer-consultation-fee,79,58.4,/states/texas-lawyer-costs,50,61.1,/states/california-lawyer-costs,12,80.7,REVISAR-intencion-mixta
lawyer consultant cost,155,7,True,"guide,state",/states/california-lawyer-costs,31,73.4,/pages/lawyer-consultation-fee,29,59.6,/states/south-carolina-lawyer-costs,29,66.1,REVISAR-intencion-mixta
how much are lawyers,154,36,True,"other,state",/states/new-york-lawyer-costs,26,50.9,/states/pennsylvania-lawyer-costs,20,9.9,/states/california-lawyer-costs,11,17.5,REVISAR-intencion-mixta
lawyer fee,143,32,True,"guide,state",/states/new-york-lawyer-costs,14,12.9,/states/wisconsin-lawyer-costs,11,56.8,/states/mississippi-lawyer-costs,10,69.9,REVISAR-intencion-mixta
legal consultation fee,137,4,True,"guide,state",/pages/lawyer-consultation-fee,63,59.9,/states/texas-lawyer-costs,56,59.8,/states/new-york-lawyer-costs,10,41.5,REVISAR-intencion-mixta
how much is an attorney,133,39,True,"guide,state",/pages/how-much-does-a-lawyer-cost,18,44.5,/states/new-york-lawyer-costs,14,21.2,/states/south-carolina-lawyer-costs,10,48.6,REVISAR-intencion-mixta
attorney consultant cost,128,6,True,"guide,state",/states/california-lawyer-costs,37,68.4,/pages/lawyer-consultation-fee,34,74.1,/states/north-carolina-lawyer-costs,24,89.5,REVISAR-intencion-mixta
lawyer hourly rate,120,19,False,state,/states/colorado-lawyer-costs,55,28.3,/states/new-york-lawyer-costs,23,36.0,/states/tennessee-lawyer-costs,13,33.5,OK-misma-seccion-intencion-geo-distinta
lawyers hourly rates,120,17,False,state,/states/texas-lawyer-costs,29,61.0,/states/south-carolina-lawyer-costs,21,59.7,/states/tennessee-lawyer-costs,17,54.1,OK-misma-seccion-intencion-geo-distinta
how much is a attorney,119,29,True,"guide,state",/states/idaho-lawyer-costs,30,27.7,/states/utah-lawyer-costs,29,26.8,/states/new-york-lawyer-costs,9,26.2,REVISAR-intencion-mixta
criminal defense attorney fees,118,8,True,"guide,state",/states/utah-lawyer-costs,76,53.8,/states/nevada-lawyer-costs,17,51.1,/states/missouri-lawyer-costs,12,70.8,REVISAR-intencion-mixta
cost of a lawyer,106,24,True,"guide,other,state",/states/wisconsin-lawyer-costs,16,66.8,/states/california-lawyer-costs,15,84,/states/south-carolina-lawyer-costs,9,84.3,REVISAR-intencion-mixta
how much does a criminal defense attorney cost,99,6,True,"guide,state",/pages/criminal-defense-lawyer-cost,91,65.0,/states/california-lawyer-costs,3,85.3,/states/new-york-lawyer-costs,2,50,REVISAR-intencion-mixta
lawyer prices,94,32,True,"guide,state",/states/new-york-lawyer-costs,14,13.5,/states/south-carolina-lawyer-costs,8,19,/states/maryland-lawyer-costs,5,56.2,REVISAR-intencion-mixta
how much does an employment lawyer cost,92,2,True,"guide,state",/pages/employment-lawyer-cost,90,55.6,/states/new-york-lawyer-costs,2,43.5,,,,REVISAR-intencion-mixta
how much does a divorce lawyer cost,84,8,True,"guide,state",/states/maryland-lawyer-costs,27,63.2,/pages/divorce-lawyer-cost,23,76.6,/states/colorado-lawyer-costs,20,68.5,REVISAR-intencion-mixta
lawyers consultation fees,83,4,True,"guide,state",/states/texas-lawyer-costs,71,60.9,/pages/lawyer-consultation-fee,10,75.5,/pages/how-much-does-a-lawyer-cost,1,44,REVISAR-intencion-mixta
lawyer costs,80,29,True,"guide,other,state",/states/south-carolina-lawyer-costs,9,57.8,/states/wisconsin-lawyer-costs,8,59.9,/states/indiana-lawyer-costs,7,54,REVISAR-intencion-mixta
attorney price,79,25,False,state,/states/new-york-lawyer-costs,9,13.4,/states/oklahoma-lawyer-costs,9,41.2,/states/south-carolina-lawyer-costs,9,47.8,OK-misma-seccion-intencion-geo-distinta
lawyer consultation fee,79,4,True,"guide,state",/pages/lawyer-consultation-fee,54,57.5,/states/california-lawyer-costs,18,52.1,/states/new-york-lawyer-costs,6,33.7,REVISAR-intencion-mixta
how much for attorney,78,21,False,state,/states/south-carolina-lawyer-costs,14,69,/states/california-lawyer-costs,10,80.2,/states/wisconsin-lawyer-costs,8,62.4,OK-misma-seccion-intencion-geo-distinta
monthly lawyer cost,78,6,False,state,/states/louisiana-lawyer-costs,67,49.6,/states/alabama-lawyer-costs,4,96.2,/states/south-carolina-lawyer-costs,3,94,OK-misma-seccion-intencion-geo-distinta
average cost of a lawyer,73,18,True,"guide,state",/pages/how-much-does-a-lawyer-cost,30,61.8,/states/wisconsin-lawyer-costs,9,80.9,/states/new-york-lawyer-costs,6,27,REVISAR-intencion-mixta
how much dui lawyer cost,70,2,True,"guide,state",/pages/dui-lawyer-cost,63,67.0,/states/new-york-lawyer-costs,7,43.4,,,,REVISAR-intencion-mixta
lawyer price,70,27,False,state,/states/new-york-lawyer-costs,9,32.1,/states/indiana-lawyer-costs,7,29.6,/states/massachusetts-lawyer-costs,4,31.2,OK-misma-seccion-intencion-geo-distinta
how much are lawyer fees,64,22,True,"guide,state",/states/new-york-lawyer-costs,27,26.7,/states/new-jersey-lawyer-costs,4,6.5,/states/connecticut-lawyer-costs,3,8,REVISAR-intencion-mixta
how much does a civil lawyer cost,61,25,False,state,/states/new-york-lawyer-costs,8,24.2,/states/alabama-lawyer-costs,5,8.4,/states/arizona-lawyer-costs,4,9.5,OK-misma-seccion-intencion-geo-distinta
how much are dui lawyers,60,2,True,"guide,state",/pages/dui-lawyer-cost,57,68.7,/states/new-york-lawyer-costs,3,48.7,,,,REVISAR-intencion-mixta
how much is a divorce lawyer,60,5,True,"guide,state",/pages/divorce-lawyer-cost,28,72.9,/states/maryland-lawyer-costs,21,77.2,/states/new-jersey-lawyer-costs,8,76.6,REVISAR-intencion-mixta
legal advice cost,60,15,True,"guide,other,state",/states/new-york-lawyer-costs,20,26.1,/states/pennsylvania-lawyer-costs,10,90.9,/states/massachusetts-lawyer-costs,7,63,REVISAR-intencion-mixta
how much does a personal injury lawyer cost,59,5,True,"guide,state",/pages/personal-injury-lawyer-cost,45,65.2,/states/new-york-lawyer-costs,8,54.6,/states/michigan-lawyer-costs,3,80.3,REVISAR-intencion-mixta
lawyer rates,58,26,False,state,/states/maryland-lawyer-costs,8,74,/states/colorado-lawyer-costs,5,46.6,/states/california-lawyer-costs,4,85,OK-misma-seccion-intencion-geo-distinta
how much for a lawyer to represent you in court,57,28,True,"guide,state",/states/south-carolina-lawyer-costs,6,50.2,/pages/can-i-afford-a-lawyer,4,75,/states/wisconsin-lawyer-costs,4,47.2,REVISAR-intencion-mixta
how much do lawyers charge,55,13,True,"guide,other,state",/states/new-york-lawyer-costs,30,40.3,/states/texas-lawyer-costs,6,59.2,/,4,93.8,REVISAR-intencion-mixta
how much does a criminal defense lawyer cost,55,7,True,"guide,state",/pages/criminal-defense-lawyer-cost,42,37.1,/states/south-carolina-lawyer-costs,4,11.8,/states/alabama-lawyer-costs,3,10.3,REVISAR-intencion-mixta
local attorney fees,53,18,False,state,/states/kentucky-lawyer-costs,6,66,/states/utah-lawyer-costs,6,87.5,/states/west-virginia-lawyer-costs,6,58.7,OK-misma-seccion-intencion-geo-distinta
attorney costs,53,25,True,"other,state",/states/wisconsin-lawyer-costs,8,51.6,/states/massachusetts-lawyer-costs,6,36.3,/states/new-york-lawyer-costs,5,20,REVISAR-intencion-mixta
average cost for a dui lawyer,52,2,True,"guide,state",/pages/dui-lawyer-cost,44,67.9,/states/new-york-lawyer-costs,8,47.5,,,,REVISAR-intencion-mixta
average lawyer fees,52,13,True,"guide,other,state",/states/texas-lawyer-costs,13,33.9,/states/tennessee-lawyer-costs,9,82.1,/states/new-york-lawyer-costs,6,15.3,REVISAR-intencion-mixta
how much does it cost for a lawyer,51,18,True,"guide,state",/pages/how-much-does-a-lawyer-cost,11,61,/states/new-york-lawyer-costs,7,32.4,/states/south-carolina-lawyer-costs,5,78.2,REVISAR-intencion-mixta
criminal defense attorneys fees,50,2,False,state,/states/utah-lawyer-costs,49,59.6,/states/missouri-lawyer-costs,1,17,,,,OK-misma-seccion-intencion-geo-distinta
attorney prices,49,24,True,"guide,state",/states/new-york-lawyer-costs,8,13.9,/states/california-lawyer-costs,4,96,/states/south-carolina-lawyer-costs,4,66.5,REVISAR-intencion-mixta
how much do lawyers charge per hour,49,23,False,state,/states/tennessee-lawyer-costs,7,54.7,/states/colorado-lawyer-costs,4,11.8,/states/connecticut-lawyer-costs,4,51.5,OK-misma-seccion-intencion-geo-distinta
how much is a civil lawyer,49,23,False,state,/states/new-york-lawyer-costs,6,32.8,/states/south-carolina-lawyer-costs,6,18.5,/states/louisiana-lawyer-costs,4,7,OK-misma-seccion-intencion-geo-distinta
how much is a small claims lawyer,49,22,True,"guide,state",/states/new-york-lawyer-costs,4,24.2,/states/oklahoma-lawyer-costs,4,8.5,/pages/small-claims-filing-fee-calculator,3,83.3,REVISAR-intencion-mixta
how much does a dui lawyer cost,48,2,True,"guide,state",/pages/dui-lawyer-cost,47,73.5,/states/new-york-lawyer-costs,1,64,,,,REVISAR-intencion-mixta
lawyers fees,48,20,True,"other,state",/states/new-york-lawyer-costs,11,18.5,/states/kentucky-lawyer-costs,4,63.2,/states/mississippi-lawyer-costs,4,49.5,REVISAR-intencion-mixta
attorney rates,46,26,True,"guide,state",/states/new-york-lawyer-costs,6,17.8,/states/california-lawyer-costs,3,85,/states/indiana-lawyer-costs,3,5.7,REVISAR-intencion-mixta
how much does it cost to hire a lawyer,46,21,True,"guide,other,state",/states/new-york-lawyer-costs,11,41.8,/pages/how-much-does-a-lawyer-cost,3,64.7,/states/massachusetts-lawyer-costs,3,10.7,REVISAR-intencion-mixta
unemployment lawyer cost,46,2,True,"guide,state",/pages/employment-lawyer-cost,45,53.7,/states/new-york-lawyer-costs,1,32,,,,REVISAR-intencion-mixta
how much are attorney fees,45,17,False,state,/states/new-york-lawyer-costs,16,47.6,/states/kentucky-lawyer-costs,4,15,/states/new-hampshire-lawyer-costs,3,9.7,OK-misma-seccion-intencion-geo-distinta
how much does a lawyer cost per hour,45,20,True,"guide,state",/states/colorado-lawyer-costs,14,32.4,/states/maryland-lawyer-costs,3,28.3,/states/minnesota-lawyer-costs,3,8.3,REVISAR-intencion-mixta
cost of an attorney,44,19,False,state,/states/new-york-lawyer-costs,7,20.3,/states/arizona-lawyer-costs,6,10.3,/states/south-carolina-lawyer-costs,5,82.4,OK-misma-seccion-intencion-geo-distinta
how much does a consumer protection lawyer cost,44,14,False,state,/states/california-lawyer-costs,14,29.1,/states/new-york-lawyer-costs,8,14.2,/states/south-carolina-lawyer-costs,5,9,OK-misma-seccion-intencion-geo-distinta
how much does a small claims lawyer cost,44,24,True,"guide,other,state",/pages/small-claims-filing-fee-calculator,6,81.3,/states/wisconsin-lawyer-costs,4,9.5,/states/indiana-lawyer-costs,3,8.3,REVISAR-intencion-mixta
cost of lawyer,43,20,False,state,/states/wisconsin-lawyer-costs,6,53.8,/states/south-carolina-lawyer-costs,5,73.4,/states/tennessee-lawyer-costs,5,87.2,OK-misma-seccion-intencion-geo-distinta
how much a lawyer cost,43,24,True,"guide,state",/states/new-york-lawyer-costs,6,17.3,/states/alabama-lawyer-costs,5,10.2,/pages/how-much-does-a-lawyer-cost,4,58.5,REVISAR-intencion-mixta
how much does it cost to get a lawyer,43,22,True,"guide,state",/states/kentucky-lawyer-costs,6,11.7,/states/missouri-lawyer-costs,4,11.2,/pages/can-i-afford-a-lawyer,3,77.3,REVISAR-intencion-mixta
average attorney fees,40,18,True,"guide,state",/states/wisconsin-lawyer-costs,5,17.6,/pages/how-much-does-a-lawyer-cost,4,83.5,/states/south-carolina-lawyer-costs,4,67.5,REVISAR-intencion-mixta
average lawyer cost,40,19,True,"guide,other,state",/states/new-york-lawyer-costs,5,35,/states/california-lawyer-costs,4,84.8,/states/texas-lawyer-costs,4,89.2,REVISAR-intencion-mixta
how much is a lawyer consultation fee,40,7,True,"guide,state",/pages/lawyer-consultation-fee,17,47.4,/states/new-york-lawyer-costs,9,33.6,/states/california-lawyer-costs,5,62.2,REVISAR-intencion-mixta
lawyer fees for small business,40,3,True,"guide,state",/states/massachusetts-lawyer-costs,23,61.7,/pages/business-lawyer-cost,15,81.5,/states/new-york-lawyer-costs,2,39,REVISAR-intencion-mixta
