query,total_impr_3m,n_urls,mixed_sections,sections,url_1,impr_1,pos_1,url_2,impr_2,pos_2,decision,reason
lawyer costs,80,29,True,"guide,other,state",/states/south-carolina-lawyer-costs,9,57.8,/states/wisconsin-lawyer-costs,8,59.9,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
attorney price,79,25,False,state,/states/new-york-lawyer-costs,9,13.4,/states/oklahoma-lawyer-costs,9,41.2,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
lawyer consultation fee,79,4,True,"guide,state",/pages/lawyer-consultation-fee,54,57.5,/states/california-lawyer-costs,18,52.1,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much for attorney,78,21,False,state,/states/south-carolina-lawyer-costs,14,69,/states/california-lawyer-costs,10,80.2,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
monthly lawyer cost,78,6,False,state,/states/louisiana-lawyer-costs,67,49.6,/states/alabama-lawyer-costs,4,96.2,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
average cost of a lawyer,73,18,True,"guide,state",/pages/how-much-does-a-lawyer-cost,30,61.8,/states/wisconsin-lawyer-costs,9,80.9,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much dui lawyer cost,70,2,True,"guide,state",/pages/dui-lawyer-cost,63,67.0,/states/new-york-lawyer-costs,7,43.4,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyer price,70,27,False,state,/states/new-york-lawyer-costs,9,32.1,/states/indiana-lawyer-costs,7,29.6,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much are lawyer fees,64,22,True,"guide,state",/states/new-york-lawyer-costs,27,26.7,/states/new-jersey-lawyer-costs,4,6.5,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does a civil lawyer cost,61,25,False,state,/states/new-york-lawyer-costs,8,24.2,/states/alabama-lawyer-costs,5,8.4,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much are dui lawyers,60,2,True,"guide,state",/pages/dui-lawyer-cost,57,68.7,/states/new-york-lawyer-costs,3,48.7,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much is a divorce lawyer,60,5,True,"guide,state",/pages/divorce-lawyer-cost,28,72.9,/states/maryland-lawyer-costs,21,77.2,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
legal advice cost,60,15,True,"guide,other,state",/states/new-york-lawyer-costs,20,26.1,/states/pennsylvania-lawyer-costs,10,90.9,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does a personal injury lawyer cost,59,5,True,"guide,state",/pages/personal-injury-lawyer-cost,45,65.2,/states/new-york-lawyer-costs,8,54.6,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyer rates,58,26,False,state,/states/maryland-lawyer-costs,8,74,/states/colorado-lawyer-costs,5,46.6,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much for a lawyer to represent you in court,57,28,True,"guide,state",/states/south-carolina-lawyer-costs,6,50.2,/pages/can-i-afford-a-lawyer,4,75,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much do lawyers charge,55,13,True,"guide,other,state",/states/new-york-lawyer-costs,30,40.3,/states/texas-lawyer-costs,6,59.2,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does a criminal defense lawyer cost,55,7,True,"guide,state",/pages/criminal-defense-lawyer-cost,42,37.1,/states/south-carolina-lawyer-costs,4,11.8,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
local attorney fees,53,18,False,state,/states/kentucky-lawyer-costs,6,66,/states/utah-lawyer-costs,6,87.5,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
attorney costs,53,25,True,"other,state",/states/wisconsin-lawyer-costs,8,51.6,/states/massachusetts-lawyer-costs,6,36.3,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
average cost for a dui lawyer,52,2,True,"guide,state",/pages/dui-lawyer-cost,44,67.9,/states/new-york-lawyer-costs,8,47.5,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
average lawyer fees,52,13,True,"guide,other,state",/states/texas-lawyer-costs,13,33.9,/states/tennessee-lawyer-costs,9,82.1,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does it cost for a lawyer,51,18,True,"guide,state",/pages/how-much-does-a-lawyer-cost,11,61,/states/new-york-lawyer-costs,7,32.4,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
criminal defense attorneys fees,50,2,False,state,/states/utah-lawyer-costs,49,59.6,/states/missouri-lawyer-costs,1,17,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
attorney prices,49,24,True,"guide,state",/states/new-york-lawyer-costs,8,13.9,/states/california-lawyer-costs,4,96,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much do lawyers charge per hour,49,23,False,state,/states/tennessee-lawyer-costs,7,54.7,/states/colorado-lawyer-costs,4,11.8,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much is a civil lawyer,49,23,False,state,/states/new-york-lawyer-costs,6,32.8,/states/south-carolina-lawyer-costs,6,18.5,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much is a small claims lawyer,49,22,True,"guide,state",/states/new-york-lawyer-costs,4,24.2,/states/oklahoma-lawyer-costs,4,8.5,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does a dui lawyer cost,48,2,True,"guide,state",/pages/dui-lawyer-cost,47,73.5,/states/new-york-lawyer-costs,1,64,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyers fees,48,20,True,"other,state",/states/new-york-lawyer-costs,11,18.5,/states/kentucky-lawyer-costs,4,63.2,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
attorney rates,46,26,True,"guide,state",/states/new-york-lawyer-costs,6,17.8,/states/california-lawyer-costs,3,85,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does it cost to hire a lawyer,46,21,True,"guide,other,state",/states/new-york-lawyer-costs,11,41.8,/pages/how-much-does-a-lawyer-cost,3,64.7,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
unemployment lawyer cost,46,2,True,"guide,state",/pages/employment-lawyer-cost,45,53.7,/states/new-york-lawyer-costs,1,32,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much are attorney fees,45,17,False,state,/states/new-york-lawyer-costs,16,47.6,/states/kentucky-lawyer-costs,4,15,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much does a lawyer cost per hour,45,20,True,"guide,state",/states/colorado-lawyer-costs,14,32.4,/states/maryland-lawyer-costs,3,28.3,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
cost of an attorney,44,19,False,state,/states/new-york-lawyer-costs,7,20.3,/states/arizona-lawyer-costs,6,10.3,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much does a consumer protection lawyer cost,44,14,False,state,/states/california-lawyer-costs,14,29.1,/states/new-york-lawyer-costs,8,14.2,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much does a small claims lawyer cost,44,24,True,"guide,other,state",/pages/small-claims-filing-fee-calculator,6,81.3,/states/wisconsin-lawyer-costs,4,9.5,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
cost of lawyer,43,20,False,state,/states/wisconsin-lawyer-costs,6,53.8,/states/south-carolina-lawyer-costs,5,73.4,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much a lawyer cost,43,24,True,"guide,state",/states/new-york-lawyer-costs,6,17.3,/states/alabama-lawyer-costs,5,10.2,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does it cost to get a lawyer,43,22,True,"guide,state",/states/kentucky-lawyer-costs,6,11.7,/states/missouri-lawyer-costs,4,11.2,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
average attorney fees,40,18,True,"guide,state",/states/wisconsin-lawyer-costs,5,17.6,/pages/how-much-does-a-lawyer-cost,4,83.5,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
average lawyer cost,40,19,True,"guide,other,state",/states/new-york-lawyer-costs,5,35,/states/california-lawyer-costs,4,84.8,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much is a lawyer consultation fee,40,7,True,"guide,state",/pages/lawyer-consultation-fee,17,47.4,/states/new-york-lawyer-costs,9,33.6,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyer fees for small business,40,3,True,"guide,state",/states/massachusetts-lawyer-costs,23,61.7,/pages/business-lawyer-cost,15,81.5,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
